Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Rank:1,Major:Petroleum Engineering,Bachelors,Degree Type:Bachelors,Early Career Pay:98100,MidCareer Pay:212100
Rank:2,Major:Operations Research & Industrial Engineering,Bachelors,Degree Type:Bachelors,Early Career Pay:101200,MidCareer Pay:202600
Rank:3,Major:Electrical Engineering & Computer Science (EECS),Bachelors,Degree Type:Bachelors,Early Career Pay:128500,MidCareer Pay:192300
Rank:4,Major:Interaction Design,Bachelors,Degree Type:Bachelors,Early Career Pay:77400,MidCareer Pay:178800
Rank:5,Major:Building Science,Bachelors,Degree Type:Bachelors,Early Career Pay:71100,MidCareer Pay:172400
Rank:6,Major:Applied Economics and Management,Bachelors,Degree Type:Bachelors,Early Career Pay:81200,MidCareer Pay:169300
Rank:7,Major:Actuarial Mathematics,Bachelors,Degree Type:Bachelors,Early Career Pay:71200,MidCareer Pay:167500
Rank:8,Major:Optical Science & Engineering,Bachelors,Degree Type:Bachelors,Early Career Pay:81500,MidCareer Pay:166400
Rank:9,Major:Quantitative Economics,Bachelors,Degree Type:Bachelors,Early Career Pay:78400,MidCareer Pay:165100
Rank:10,Major:Operations Research,Bachelors,Degree Type:Bachelors,Early Career Pay:94900,MidCareer Pay:164900
Rank:11,Major:Systems Engineering,Bachelors,Degree Type:Bachelors,Early Career Pay:89700,MidCareer Pay:163800
Rank:12,Major:Information & Computer Science,Bachelors,Degree Type:Bachelors,Early Career Pay:73200,MidCareer Pay:162900
Rank:13,Major:Public Accounting,Bachelors,Degree Type:Bachelors,Early Career Pay:71500,MidCareer Pay:162200
Rank:14,Major:Cognitive Science,Bachelors,Degree Type:Bachelors,Early Career Pay:80300,MidCareer Pay:162100
Rank:15,Major:Aeronautics & Astronautics,Bachelors,Degree Type:Bachelors,Early Career Pay:89800,MidCareer Pay:161600
Rank:16,Major:Aerospace Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:64500,MidCareer Pay:158400
Rank:17,Major:Pharmacy,Bachelors,Degree Type:Bachelors,Early Career Pay:71500,MidCareer Pay:158000
Rank:18,Major:Managerial Economics,Bachelors,Degree Type:Bachelors,Early Career Pay:78200,MidCareer Pay:157800
Rank:19,Major:Foreign Affairs,Bachelors,Degree Type:Bachelors,Early Career Pay:65200,MidCareer Pay:157700
Rank:20,Major:Political Economy,Bachelors,Degree Type:Bachelors,Early Career Pay:75800,MidCareer Pay:156700
Rank:21,Major:Chemical Engineering,Bachelors,Degree Type:Bachelors,Early Career Pay:87700,MidCareer Pay:156100
